YearsExperience,Salary
1.1,39343.00
1.3,46205.00
1.5,37731.00
2.0,43525.00
2.2,39891.00
2.9,56642.00
3.0,60150.00
3.2,54445.00
3.2,64445.00
3.7,57189.00
3.9,63218.00
4.0,55794.00
4.0,56957.00
4.1,57081.00
4.5,61111.00
4.9,67938.00
5.1,66029.00
5.3,83088.00
5.9,81363.00
6.0,93940.00
6.8,91738.00
7.1,98273.00
7.9,101302.00
8.2,113812.00
8.7,109431.00
9.0,105582.00
9.5,116969.00
9.6,112635.00
10.3,122391.00
10.5,121872.00
11.2,137168.00
11.5,128765.00
12.0,143741.00
12.4,153045.00
12.7,144703.00
13.0,152211.00
13.5,149759.00
13.9,160019.00
14.2,165899.00
14.7,168251.00
15.1,179909.00
15.6,178670.00
16.0,187074.00
16.3,186172.00
16.8,190349.00
17.2,192596.00
17.5,197063.00
18.0,203086.00
18.4,202708.00
18.9,208872.00
19.3,209988.00
19.8,216323.00
20.2,212234.00
20.7,225249.00
21.1,226131.00
21.6,230203.00
22.0,236157.00
22.5,235867.00
22.9,243498.00
23.4,246679.00
23.8,255416.00
24.3,255356.00
24.8,261489.00
25.2,269455.00
25.7,271992.00
26.1,279640.00
26.6,280654.00
27.0,289142.00
27.5,290240.00
27.9,298425.00
28.4,307607.00
28.9,313368.00
29.3,313222.00
29.8,322426.00
30.2,320013.00
30.7,330945.00
31.1,336514.00
31.6,346633.00
32.0,343543.00
32.5,356865.00
32.9,361670.00
33.4,366698.00
33.8,372372.00
34.3,377814.00
34.8,382165.00
35.2,391738.00
35.7,394022.00
36.1,401340.00
36.6,409392.00
37.0,412515.00
37.5,421032.00
38.0,430122.00
38.4,432387.00
38.9,443845.00
39.3,445314.00
39.8,454421.00
40.3,457740.00
40.7,466385.00
41.2,471090.00
41.6,477717.00
42.1,487156.00
42.5,489583.00
43.0,499223.00
43.5,501785.00
43.9,509804.00
44.4,514747.00
44.8,523710.00
45.3,528032.00
45.7,534464.00
46.2,543057.00
46.7,549556.00
47.1,552965.00
47.6,561414.00
48.0,564862.00
